time,locality,largerArea,country,lat,long,uncertainty,CO2
2015.619355,Waitangi,Chatham Islands,NZ,-47.14105606,-152.180069,1.119460702,388.6785889
2015.954839,Waitangi,Chatham Islands,NZ,-66.32714081,-148.3779602,0.742492497,382.941925
2016.073656,Waitangi,Chatham Islands,NZ,-39.01364136,-160.4281158,1.287581563,395.3938293
2016.184946,Waitangi,Chatham Islands,NZ,-67.48764801,-155.511795,0.677443922,390.8312988
2016.487097,Waitangi,Chatham Islands,NZ,-67.8912735,-158.1430969,1.093490243,390.0213318
2019.181183,Waitangi,Chatham Islands,NZ,-46.06971359,-155.3333588,0.551196277,399.4065247
2019.256989,Waitangi,Chatham Islands,NZ,-47.02112961,-156.5743561,0.526131511,405.2428894
2019.27957,Waitangi,Chatham Islands,NZ,-52.69763947,-150.6755524,0.459704876,401.5039673
2019.452688,Waitangi,Chatham Islands,NZ,-67.76887512,-148.8504791,0.533780336,400.5476685
2019.76129,Waitangi,Chatham Islands,NZ,-51.88587189,-161.6331177,0.449518412,400.5154419
2019.804839,Waitangi,Chatham Islands,NZ,-50.01498032,-152.6109314,0.52020669,401.098999
2019.842473,Waitangi,Chatham Islands,NZ,-46.77068329,-159.8125763,0.466940016,402.8583374
2019.905376,Waitangi,Chatham Islands,NZ,-48.67058182,-153.3467865,0.493824929,402.4781494
2019.950538,Waitangi,Chatham Islands,NZ,-67.69412231,-146.0708618,0.61878401,402.6629028
2019.963978,Waitangi,Chatham Islands,NZ,-55.40852737,-163.678833,0.349529117,400.6680298
2020.04086,Waitangi,Chatham Islands,NZ,-61.19161224,-147.4738007,0.450297773,404.4695129
2020.043011,Waitangi,Chatham Islands,NZ,-51.73061752,-158.5489044,0.575822592,398.593689
2020.116667,Waitangi,Chatham Islands,NZ,-44.57913208,-158.940918,0.504975855,401.4397888
2020.178495,Waitangi,Chatham Islands,NZ,-49.79317093,-162.4031982,0.650061309,401.0205078
2020.180645,Waitangi,Chatham Islands,NZ,-68.60440063,-153.3391266,0.806751251,405.8674316
2020.184946,Waitangi,Chatham Islands,NZ,-47.30528259,-161.086731,0.454177201,402.3409424
2020.195161,Waitangi,Chatham Islands,NZ,-67.00065613,-151.1840515,0.594382167,393.4407043
2020.254301,Waitangi,Chatham Islands,NZ,-59.02540207,-156.1742401,0.317500114,397.7770996
2020.34086,Waitangi,Chatham Islands,NZ,-52.12369537,-155.471344,0.484131366,396.8291321
2020.42043,Waitangi,Chatham Islands,NZ,-44.98010635,-164.8592224,0.282508463,398.2077637
2020.454301,Waitangi,Chatham Islands,NZ,-40.62089539,-166.1652985,0.418660551,398.7984924
2020.468817,Waitangi,Chatham Islands,NZ,-51.46834946,-160.125061,0.446821898,400.1873474
2020.532796,Waitangi,Chatham Islands,NZ,-69.04555511,-156.1412811,0.526089609,403.0637817
2020.923118,Waitangi,Chatham Islands,NZ,-70.93104553,-153.205368,0.663897038,413.6095276
2021.075269,Waitangi,Chatham Islands,NZ,-62.71412659,-160.9914398,0.416535974,402.2551575
